request,response_time_ms,timestamp
5,21026.4,1763994390577
4,21030.5,1763994390596
42,21036.8,1763994390603
22,21025.1,1763994390569
30,21032.9,1763994390592
39,21035.9,1763994390606
2,21031.4,1763994390574
33,21029.5,1763994390618
19,21035.9,1763994390602
32,21040.6,1763994390576
47,21031.3,1763994390604
18,21037,1763994390596
38,21035.2,1763994390604
26,21025,1763994390619
17,21034.7,1763994390578
29,21026.4,1763994390617
9,21034.9,1763994390601
43,21033,1763994390608
12,21040.8,1763994390569
28,21031.3,1763994390609
49,21031.1,1763994390618
7,21040,1763994390633
44,21038.5,1763994390632
20,21048.3,1763994390638
31,21067.2,1763994390573
35,21032,1763994390622
21,21035.6,1763994390609
11,21043.6,1763994390575
24,21067.3,1763994390611
45,21032.6,1763994390632
3,21059.9,1763994390597
1,21032.1,1763994390565
13,21039.9,1763994390628
25,21035,1763994390590
36,21057.6,1763994390588
50,21026.4,1763994390620
16,21030.3,1763994390610
14,21058.3,1763994390608
27,21050.8,1763994390611
40,21042.9,1763994390606
37,21044.1,1763994390607
41,21027.8,1763994390607
34,21035.9,1763994390592
23,21040.4,1763994390619
6,21053.5,1763994390609
8,21058.9,1763994390600
15,21057.6,1763994390608
46,21038.9,1763994390634
48,21066.1,1763994390610
10,21064.6,1763994390610
