seq,latency_ms
1,14.4
2,16.5
3,15.0
4,15.2
5,14.0
6,15.9
7,15.8
8,16.6
9,17.3
10,18.5
11,18.8
12,18.2
13,16.0
14,18.1
15,17.4
16,17.7
17,17.0
18,18.6
19,18.5
20,19.7
21,19.1
22,17.3
23,19.1
24,18.5
25,19.2
26,19.8
27,18.2
28,19.7
29,19.5
30,21.4
31,21.5
32,21.5
33,13.0
34,12.1
35,13.3
36,14.6
37,14.4
38,18.8
39,19.4
40,15.5
41,15.2
42,13.4
43,21.6
44,12.6
45,14.1
46,12.0
47,20.6
48,21.3
49,20.6
50,19.4
Approx ping throughput: 3233.63 B/s
