seq,latency_ms
1,16.2
2,15.4
3,19.2
4,20.7
5,19.5
6,21.3
7,13.2
8,12.5
9,13.1
10,16.1
11,16.5
12,18.8
13,17.3
14,16.7
15,17.1
16,15.0
17,14.3
18,12.4
19,15.1
20,14.9
21,13.9
22,16.2
23,16.9
24,16.7
25,17.6
26,19.7
27,21.0
28,20.5
29,20.5
30,20.8
31,12.1
32,12.5
33,14.8
34,13.0
35,14.9
36,14.8
37,14.0
38,15.5
39,17.6
40,19.0
41,17.5
42,19.7
43,17.6
44,14.1
45,17.3
46,13.8
47,15.3
48,16.6
49,15.9
50,14.8
Approx ping throughput: 3415.05 B/s
