run,time_total_seconds,size_download_bytes,throughput_bps
170,0.2405,255,1060.29,0.0085
171,0.2551,255,999.61,0.0080
172,0.2309,255,1104.37,0.0088
173,0.2290,255,1113.54,0.0089
174,0.2265,255,1125.83,0.0090
175,0.2574,255,990.68,0.0079
176,0.2841,255,897.57,0.0072
177,0.2350,255,1085.11,0.0087
178,0.2424,255,1051.98,0.0084
179,0.2501,255,1019.59,0.0082
180,0.2868,255,889.12,0.0071
181,0.3401,255,749.78,0.0060
182,0.2442,255,1044.23,0.0084
183,0.2411,255,1057.65,0.0085
184,0.2620,255,973.28,0.0078
185,0.2460,255,1036.59,0.0083
186,0.2293,255,1112.08,0.0089
187,0.2289,255,1114.02,0.0089
188,0.2284,255,1116.46,0.0089
189,0.2316,255,1101.04,0.0088
190,0.2377,255,1072.78,0.0086
191,0.2199,255,1159.62,0.0093
192,0.2233,255,1141.96,0.0091
193,0.2334,255,1092.54,0.0087
194,0.2474,255,1030.72,0.0082
195,0.2338,255,1090.68,0.0087
196,0.2283,255,1116.95,0.0089
197,0.2797,255,911.69,0.0073
198,0.2586,255,986.08,0.0079
199,0.2379,255,1071.88,0.0086
200,0.2342,255,1088.81,0.0087
