seq,latency_ms
1,18.3
2,18.7
3,17.5
4,16.7
5,17.4
6,17.7
7,19.4
8,13.0
9,13.5
10,17.1
11,17.1
12,19.7
13,22.0
14,20.6
15,43.2
16,12.2
17,21.4
18,14.8
19,13.4
20,15.1
21,16.6
22,15.5
23,16.6
24,16.0
25,16.1
26,22.9
27,20.6
28,22.0
29,13.2
30,22.0
31,14.7
32,14.6
33,16.2
34,17.4
35,15.0
36,18.7
37,19.7
38,20.0
39,12.5
40,20.7
41,15.4
42,16.0
43,13.2
44,13.4
45,21.8
46,21.0
47,14.3
48,12.6
49,16.3
50,16.3
Approx ping throughput: 3181.46 B/s
