run,time_total_seconds,size_download_bytes,throughput_bps
169,0.2343,255,1088.35,0.0087
170,0.2449,255,1041.24,0.0083
171,0.2161,255,1180.01,0.0094
172,0.2266,255,1125.33,0.0090
173,0.2216,255,1150.72,0.0092
174,0.2313,255,1102.46,0.0088
175,0.2502,255,1019.18,0.0082
176,0.2299,255,1109.18,0.0089
177,0.2346,255,1086.96,0.0087
178,0.2236,255,1140.43,0.0091
179,0.2238,255,1139.41,0.0091
180,0.2367,255,1077.31,0.0086
181,0.2250,255,1133.33,0.0091
182,0.2537,255,1005.12,0.0080
183,0.2294,255,1111.60,0.0089
184,0.2541,255,1003.54,0.0080
185,0.2241,255,1137.88,0.0091
186,0.2380,255,1071.43,0.0086
187,0.2217,255,1150.20,0.0092
188,0.2231,255,1142.99,0.0091
189,0.2482,255,1027.40,0.0082
190,0.2275,255,1120.88,0.0090
191,0.2364,255,1078.68,0.0086
192,0.3077,255,828.73,0.0066
193,0.2479,255,1028.64,0.0082
194,0.2487,255,1025.33,0.0082
195,0.2640,255,965.91,0.0077
196,0.2338,255,1090.68,0.0087
197,0.2289,255,1114.02,0.0089
198,0.2683,255,950.43,0.0076
199,0.2344,255,1087.88,0.0087
200,0.2257,255,1129.82,0.0090
