run,time_total_seconds,size_download_bytes,throughput_bps
172,0.3059,255,833.61,0.0067
173,0.2599,255,981.15,0.0078
174,0.2949,255,864.70,0.0069
175,0.3378,255,754.88,0.0060
176,0.2468,255,1033.23,0.0083
177,0.2547,255,1001.18,0.0080
178,0.2572,255,991.45,0.0079
179,0.2921,255,872.99,0.0070
180,0.2532,255,1007.11,0.0081
181,0.2628,255,970.32,0.0078
182,0.2452,255,1039.97,0.0083
183,0.2793,255,913.00,0.0073
184,0.2275,255,1120.88,0.0090
185,0.2467,255,1033.64,0.0083
186,0.2514,255,1014.32,0.0081
187,0.2499,255,1020.41,0.0082
188,0.2630,255,969.58,0.0078
189,0.2690,255,947.96,0.0076
190,0.2648,255,962.99,0.0077
191,0.2761,255,923.58,0.0074
192,0.2754,255,925.93,0.0074
193,0.2389,255,1067.39,0.0085
194,0.2263,255,1126.82,0.0090
195,0.2376,255,1073.23,0.0086
196,0.2372,255,1075.04,0.0086
197,0.2358,255,1081.42,0.0087
198,0.2241,255,1137.88,0.0091
199,0.2253,255,1131.82,0.0091
200,0.2344,255,1087.88,0.0087
