seq,latency_ms
1,14.6
2,13.6
3,12.4
4,19.4
5,16.1
6,21.0
7,13.4
8,19.5
9,252
10,14.9
11,12.0
12,16.1
13,20.2
14,15.8
15,20.5
16,18.4
17,20.0
18,12.4
19,13.6
20,14.9
21,15.3
22,19.2
23,20.2
24,21.8
25,14.3
26,13.7
27,20.2
28,15.5
29,16.5
30,15.4
31,11.5
32,17.5
33,15.9
34,21.8
35,20.7
36,12.9
37,17.0
38,13.0
39,19.7
40,17.2
41,12.8
42,18.0
43,15.8
44,16.2
45,18.6
46,13.3
47,20.9
48,17.7
49,18.4
50,13.4
Approx ping throughput: 2628.61 B/s
