run,time_total_seconds,size_download_bytes,throughput_bps,throughput_Mbps
98,0.2516,255,1013.51,0.0081,1013.51,0.0081
99,0.2660,255,958.65,0.0077,958.65,0.0077
100,0.2604,255,979.26,0.0078,979.26,0.0078
101,0.2456,255,1038.27,0.0083,1038.27,0.0083
102,0.2735,255,932.36,0.0075,932.36,0.0075
103,0.2973,255,857.72,0.0069,857.72,0.0069
104,0.2902,255,878.70,0.0070,878.70,0.0070
105,0.2456,255,1038.27,0.0083,1038.27,0.0083
106,0.2372,255,1075.04,0.0086,1075.04,0.0086
107,0.2459,255,1037.01,0.0083,1037.01,0.0083
108,0.2502,255,1019.18,0.0082,1019.18,0.0082
109,0.2429,255,1049.81,0.0084,1049.81,0.0084
110,0.4485,255,568.56,0.0045,568.56,0.0045
111,0.2499,255,1020.41,0.0082,1020.41,0.0082
112,0.2618,255,974.03,0.0078,974.03,0.0078
113,0.2549,255,1000.39,0.0080,1000.39,0.0080
114,0.2346,255,1086.96,0.0087,1086.96,0.0087
115,0.2481,255,1027.81,0.0082,1027.81,0.0082
116,0.2333,255,1093.01,0.0087,1093.01,0.0087
117,0.2453,255,1039.54,0.0083,1039.54,0.0083
118,0.2558,255,996.87,0.0080,996.87,0.0080
119,0.2611,255,976.64,0.0078,976.64,0.0078
120,0.2479,255,1028.64,0.0082,1028.64,0.0082
121,0.2502,255,1019.18,0.0082,1019.18,0.0082
122,0.2662,255,957.93,0.0077,957.93,0.0077
123,0.2403,255,1061.17,0.0085,1061.17,0.0085
124,0.2459,255,1037.01,0.0083,1037.01,0.0083
125,0.2780,255,917.27,0.0073,917.27,0.0073
126,0.2641,255,965.54,0.0077,965.54,0.0077
127,0.2237,255,1139.92,0.0091,1139.92,0.0091
128,0.2302,255,1107.73,0.0089,1107.73,0.0089
129,0.2378,255,1072.33,0.0086,1072.33,0.0086
130,0.2456,255,1038.27,0.0083,1038.27,0.0083
131,0.3137,255,812.88,0.0065,812.88,0.0065
132,0.2680,255,951.49,0.0076,951.49,0.0076
133,0.2331,255,1093.95,0.0088,1093.95,0.0088
134,0.2642,255,965.18,0.0077,965.18,0.0077
135,0.3262,255,781.73,0.0063,781.73,0.0063
136,0.6363,255,400.75,0.0032,400.75,0.0032
137,0.3171,255,804.16,0.0064,804.16,0.0064
138,0.2433,255,1048.09,0.0084,1048.09,0.0084
139,0.2431,255,1048.95,0.0084,1048.95,0.0084
140,0.2543,255,1002.75,0.0080,1002.75,0.0080
141,0.2452,255,1039.97,0.0083,1039.97,0.0083
142,0.2943,255,866.46,0.0069,866.46,0.0069
143,0.2500,255,1020.00,0.0082,1020.00,0.0082
