seq,latency_ms
1,18.7
2,20.2
3,12.6
4,14.0
5,12.1
6,12.3
7,12.7
8,14.1
9,16.1
10,13.0
11,21.5
12,21.5
13,21.0
14,21.8
15,12.6
16,12.6
17,15.3
18,14.9
19,14.1
20,16.6
21,19.7
22,19.6
23,20.5
24,22.5
25,12.6
26,11.9
27,21.7
28,18.5
29,17.5
30,20.6
31,19.2
32,18.0
33,20.2
34,19.5
35,21.7
36,21.7
37,19.4
38,23.0
39,15.1
40,14.9
41,16.9
42,17.7
43,20.9
44,18.9
45,18.5
46,19.8
47,19.7
48,19.0
49,18.7
50,11.8
Approx ping throughput: 3191.25 B/s
