run,time_total_seconds,size_download_bytes,throughput_bps
169,0.2232,255,1142.47,0.0091
170,0.2434,255,1047.66,0.0084
171,0.2322,255,1098.19,0.0088
172,0.2260,255,1128.32,0.0090
173,0.2450,255,1040.82,0.0083
174,0.2307,255,1105.33,0.0088
175,0.2421,255,1053.28,0.0084
176,0.2190,255,1164.38,0.0093
177,0.2169,255,1175.66,0.0094
178,0.2328,255,1095.36,0.0088
179,0.2179,255,1170.26,0.0094
180,0.2484,255,1026.57,0.0082
181,0.2211,255,1153.32,0.0092
182,0.2294,255,1111.60,0.0089
183,0.2297,255,1110.14,0.0089
184,0.2430,255,1049.38,0.0084
185,0.2337,255,1091.14,0.0087
186,0.2294,255,1111.60,0.0089
187,0.3264,255,781.25,0.0063
188,0.2299,255,1109.18,0.0089
189,0.2509,255,1016.34,0.0081
190,0.2213,255,1152.28,0.0092
191,0.2266,255,1125.33,0.0090
192,0.2317,255,1100.56,0.0088
193,0.2315,255,1101.51,0.0088
194,0.2511,255,1015.53,0.0081
195,0.2167,255,1176.74,0.0094
196,0.2193,255,1162.79,0.0093
197,0.2228,255,1144.52,0.0092
198,0.3357,255,759.61,0.0061
199,0.2378,255,1072.33,0.0086
200,0.2395,255,1064.72,0.0085
